timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712434499478,1468,HTTP Request,200,OK,Thread Group 1-2,text,true,,1685848,113,6,6,https://chaldal.com/,491,0,77
1712434500376,1675,HTTP Request,200,OK,Thread Group 1-5,text,true,,1684623,113,10,10,https://chaldal.com/,585,0,83
1712434499265,3769,HTTP Request,200,OK,Thread Group 1-1,text,true,,1688383,113,10,10,https://chaldal.com/,547,0,289
1712434500975,2392,HTTP Request,200,OK,Thread Group 1-7,text,true,,1681817,113,10,10,https://chaldal.com/,861,0,33
1712434502052,2843,HTTP Request,200,OK,Thread Group 1-5,text,true,,1688352,113,10,10,https://chaldal.com/,355,0,0
1712434500675,5796,HTTP Request,200,OK,Thread Group 1-6,text,true,,1684591,113,9,9,https://chaldal.com/,637,0,281
1712434503367,3675,HTTP Request,200,OK,Thread Group 1-7,text,true,,1673708,113,9,9,https://chaldal.com/,313,0,0
1712434499775,7330,HTTP Request,200,OK,Thread Group 1-3,text,true,,1672495,113,8,8,https://chaldal.com/,338,0,38
1712434501561,6997,HTTP Request,200,OK,Thread Group 1-9,text,true,,1676612,113,8,8,https://chaldal.com/,3917,0,59
1712434507107,1487,HTTP Request,200,OK,Thread Group 1-3,text,true,,1680627,113,8,8,https://chaldal.com/,310,0,0
1712434503036,5635,HTTP Request,200,OK,Thread Group 1-1,text,true,,1685805,113,7,7,https://chaldal.com/,541,0,0
1712434506472,3593,HTTP Request,200,OK,Thread Group 1-6,text,true,,1673717,113,6,6,https://chaldal.com/,318,0,0
1712434501863,8560,HTTP Request,200,OK,Thread Group 1-10,text,true,,1676618,113,5,5,https://chaldal.com/,380,0,28
1712434500075,10387,HTTP Request,200,OK,Thread Group 1-4,text,true,,1688382,113,5,5,https://chaldal.com/,3395,0,3083
1712434500950,10765,HTTP Request,200,OK,Thread Group 1-2,text,true,,1673717,113,5,5,https://chaldal.com/,381,0,0
1712434510424,1368,HTTP Request,200,OK,Thread Group 1-10,text,true,,1687164,113,4,4,https://chaldal.com/,222,0,0
1712434508559,3741,HTTP Request,200,OK,Thread Group 1-9,text,true,,1688376,113,3,3,https://chaldal.com/,358,0,0
1712434510463,2116,HTTP Request,200,OK,Thread Group 1-4,text,true,,1675394,113,2,2,https://chaldal.com/,383,0,0
1712434501277,15586,HTTP Request,200,OK,Thread Group 1-8,text,true,,1676623,113,1,1,https://chaldal.com/,1414,0,815
1712434516864,1044,HTTP Request,200,OK,Thread Group 1-8,text,true,,1688382,113,1,1,https://chaldal.com/,453,0,0
